Candidate ID,Employment,YearsCode,DevType,OrgSize,LanguageHaveWorkedWith,LanguageAdmired,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OpSysPersonalUse,AISearchDevHaveWorkedWith,AIBen,AIComplex,AIToolCurrentlyUsing,AIEthics,AIChallenges,ICorPM,WorkExp,Frustration,ProfessionalTech,ProfessionalCloud,Industry,WeeklyAvailabilityHours,PersonalityText
35,"Employed, full-time",22,"Developer, full-stack",100 to 499 employees,C#;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,Microsoft SQL Server;Redis,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8),Docker;npm;NuGet;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Ubuntu;Windows,Bing AI;ChatGPT;GitHub Copilot;Visual Studio Intellicode,Increase productivity;Greater efficiency,Neither good or bad at handling complex tasks,Writing code;Documenting code;Testing code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks,Individual contributor,22.0,Amount of technical debt;Showing my contributions;Patching/updating core components;Reliability of tools/systems used in work,DevOps function,Hybrid (on-prem and cloud),Software Development,10–20,"Here’s how I usually work when I’m in a team. For me a mix of chat and meetings works best, and I adapt to what the team needs. I really value respect and clear communication in any team. I’m happy to step up, make decisions and keep everyone aligned when necessary. I don’t like heavy arguments and tend to step back rather than fight. I’m okay adjusting timelines if the scope changes and everyone is informed. I’d describe my natural team role as a Completer-Finisher: I’m detail-oriented and like polishing work at the end."
36,"Employed, full-time;Independent contractor, freelancer, or self-employed",16,"Developer, back-end",100 to 499 employees,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Go;Python;TypeScript,Databricks SQL;Elasticsearch;PostgreSQL;Snowflake;SQLite,Amazon Web Services (AWS);Databricks;Microsoft Azure,Deno;Fastify;Node.js,Apache Kafka;Apache Spark;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,APT;Docker;Homebrew;Kubernetes;Nix;npm;Pip,IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code;Xcode,MacOS;Ubuntu;Windows,ChatGPT;GitHub Copilot;WolframAlpha,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,"Good, but not great at handling complex tasks",Writing code;Debugging and getting help;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,Don’t trust the output or answers;We don’t have the right policies in place to reduce security risks,Individual contributor,13.0,Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),"Internet, Telecomm or Information Services",10–20,Here’s how I usually work when I’m in a team. I work best with real-time conversations like quick calls or stand-ups. I enjoy collaborating on direction instead of having a single strong leader. I usually de-escalate tension and look for a quiet way to sort things out. I really value respect and clear communication in any team. I’m quite strict with myself about timelines and like to finish tasks ahead of time. I’d describe my natural team role as a Plant: I’m creative and enjoy coming up with new ideas.
37,"Employed, full-time",23,"Developer, full-stack",2 to 9 employees,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),ASP.NET;Express;Laravel;Node.js;React;Symfony,.NET Framework (1.0 - 4.8);Ionic,Composer;Docker;MSBuild;npm;NuGet;Visual Studio Solution;Webpack;Yarn,Android Studio;DataGrip;Notepad++;PhpStorm;Rider;Visual Studio;WebStorm,Windows;Windows Subsystem for Linux (WSL),Amazon Q;ChatGPT,Increase productivity;Greater efficiency;Speed up learning,Neither good or bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks,Individual contributor,10.0,Amount of technical debt;Showing my contributions;Maintaining security of code being produced;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,Knowledge sharing community,Cloud only (single or multi-cloud),Software Development,10–20,"Here’s how I usually work when I’m in a team. I like a balance of async messages and live discussions, depending on the task. I like it when the team shares ownership and we make decisions together. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I tend to step between viewpoints and look for a solution everyone can live with. I treat deadlines very seriously and plan my work so I don’t deliver late."
38,"Employed, full-time",37,"Developer, back-end",10 to 19 employees,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;Snowflake;SQLite,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner;Linode, now Akamai;Microsoft Azure;Netlify",Django;FastAPI;Htmx;jQuery;NestJS;Next.js;Node.js;React;Ruby on Rails;Vue.js,Hugging Face Transformers;Opencv,Docker;Homebrew;Kubernetes;npm;Pip;Yarn,PyCharm;Vim;Visual Studio Code;WebStorm,Android;Debian;iOS;MacOS;Windows,Bing AI;ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Make workload more manageable,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,17.0,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Transportation, or Supply Chain",10–20,"In group projects, this is pretty much my style: I try to give constructive feedback and I appreciate it in return. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. For me a mix of chat and meetings works best, and I adapt to what the team needs. I’m quite strict with myself about timelines and like to finish tasks ahead of time. In conflict I’m quite straightforward, as long as the discussion stays respectful. I enjoy collaborating on direction instead of having a single strong leader."
39,"Independent contractor, freelancer, or self-employed",44,"Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,Java;Kotlin;PHP;Swift,Kotlin;Swift,Cloud Firestore;Firebase Realtime Database;MariaDB;MySQL,Amazon Web Services (AWS),Laravel,SwiftUI,Homebrew,Android Studio;Sublime Text;Visual Studio Code;Xcode,MacOS,ChatGPT;Claude;Perplexity AI,Speed up learning,Bad at handling complex tasks,Learning about a codebase;Search for answers,Circulating misinformation or disinformation,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",People manager,40.0,Amount of technical debt,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,10–20,This is roughly how I behave when I’m collaborating with others. I usually prefer asynchronous communication so I can think before I answer. I don’t need to be the one in charge; I prefer being a dependable contributor. I’d describe my natural team role as a Coordinator: I’m good at organizing and bringing people together. I really value respect and clear communication in any team. In conflicts I often act as a mediator and try to understand all sides. I see deadlines more as guides and like to keep them realistic and negotiable.
40,"Employed, full-time",6,"Developer, desktop or enterprise applications",100 to 499 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;MicroPython;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),Bash/Shell (all shells);C#;HTML/CSS;JavaScript;MicroPython;PowerShell,InfluxDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Cloudflare;Digital Ocean;Microsoft Azure,Express;Flask;Node.js,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron,Docker;npm,Nano;Visual Studio;Visual Studio Code,Windows,ChatGPT;GitHub Copilot;Visual Studio Intellicode,Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Debugging and getting help,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks",Individual contributor,2.0,Amount of technical debt;Complexity of tech stack for deployment;Patching/updating core components;Maintaining security of systems/platforms used in work,AI-assisted technology tool(s);Microservices,On-prem,Manufacturing,20–40,"If I had to describe myself as a teammate, I’d say this: I’m okay with different working styles as long as we’re honest about expectations. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I like a balance of async messages and live discussions, depending on the task. I adapt to the project context: sometimes I’m very strict, sometimes more relaxed. In conflicts I often act as a mediator and try to understand all sides. I don’t need to be the one in charge; I prefer being a dependable contributor."
41,"Employed, full-time",10,Other (please specify):,500 to 999 employees,Go;Java;SQL,Go;Java;SQL,BigQuery;Cloud Firestore;Dynamodb;H2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud,React;Spring Boot,Quarkus;Spring Framework,Docker;Gradle;Maven (build tool);npm;Pip,IntelliJ IDEA;Notepad++;Visual Studio Code;Xcode,MacOS;Red Hat;Ubuntu,ChatGPT,Increase productivity;Improve accuracy in coding,Bad at handling complex tasks,Writing code;Debugging and getting help,Circulating misinformation or disinformation;Energy demand,Don’t trust the output or answers;Not everyone uses them;We don’t have the right policies in place to reduce security risks,People manager,8.0,Showing my contributions;Maintaining security of code being produced;Reliability of tools/systems used in work,Automated testing;Observability tools;AI-assisted technology tool(s),Hybrid (on-prem and cloud),Insurance,20–40,Here’s how I usually work when I’m in a team. Most of the time I like working through written messages and updates instead of constant meetings. I often end up taking ownership of tasks and nudging the team forward. I usually de-escalate tension and look for a quiet way to sort things out. I’m quite strict with myself about timelines and like to finish tasks ahead of time. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress.
42,"Employed, full-time",10,Other (please specify):,"10,000 or more employees",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Cosmos DB;Microsoft SQL Server;Redis,Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Node.js;React,.NET (5+) ;.NET Framework (1.0 - 4.8),Docker;MSBuild;npm;NuGet;Visual Studio Solution;Webpack,Notepad++;Visual Studio;Visual Studio Code,Windows,Bing AI;GitHub Copilot;Visual Studio Intellicode,Increase productivity;Improve collaboration;Make workload more manageable,Bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Testing code;Search for answers,Other (please specify):,Don’t trust the output or answers,Individual contributor,10.0,Amount of technical debt;Patching/updating core components,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Fintech,20–40,"Here’s how I usually work when I’m in a team. I like a balance of async messages and live discussions, depending on the task. I naturally tend to take the lead and organize things when the team needs direction. I like to help people find common ground and reach a compromise. I treat deadlines very seriously and plan my work so I don’t deliver late. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together."
43,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",6,"Developer, full-stack",10 to 19 employees,C#;HTML/CSS;JavaScript;Kotlin;Objective-C;Swift;TypeScript,C#;HTML/CSS;JavaScript;Kotlin;Objective-C;Swift;TypeScript,Clickhouse;Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Render;Supabase;Vercel,Deno;Express;Flask;NestJS;Next.js;Node.js;Nuxt.js;React;Ruby on Rails;Strapi;Vue.js;WordPress,.NET (5+) ;React Native;SwiftUI,Ansible;Bun;Docker;Homebrew;Unity 3D;Webpack;Yarn,Android Studio;IntelliJ IDEA;Vim;Visual Studio Code;Xcode,MacOS;Windows,ChatGPT;Codeium;GitHub Copilot,Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable,Bad at handling complex tasks,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,10.0,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build,Observability tools;AI-assisted technology tool(s),Cloud only (single or multi-cloud),Other:,20–40,"In group projects, this is pretty much my style: For me a mix of chat and meetings works best, and I adapt to what the team needs. I’m usually more comfortable supporting whoever is leading and doing my part reliably. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. I really value respect and clear communication in any team. I don’t like heavy arguments and tend to step back rather than fight. I see deadlines more as guides and like to keep them realistic and negotiable."
44,"Employed, full-time",8,"Developer, full-stack",100 to 499 employees,HTML/CSS;Java;JavaScript;Ruby;SQL,HTML/CSS;Java;JavaScript;Ruby;SQL,MySQL;Redis,Amazon Web Services (AWS);Cloudflare,jQuery;Next.js;React;Ruby on Rails,Pandas,npm;Pip;pnpm;Vite;Webpack;Yarn,Neovim;RubyMine;Sublime Text;Visual Studio Code;WebStorm,MacOS,ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency,Neither good or bad at handling complex tasks,Writing code;Debugging and getting help,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",Individual contributor,4.0,Amount of technical debt;Maintaining security of code being produced,Observability tools,Cloud only (single or multi-cloud),Other:,10–20,Here’s how I usually work when I’m in a team. I’d describe my natural team role as a Monitor-Evaluator: I’m analytical and tend to look at pros and cons. Most of the time I like working through written messages and updates instead of constant meetings. I treat deadlines very seriously and plan my work so I don’t deliver late. I really value respect and clear communication in any team. I’d rather put the issue on the table and discuss it honestly than let it simmer. I prefer shared leadership where responsibilities and decisions are distributed.
45,"Employed, full-time",14,Research & Development role,500 to 999 employees,Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Lua;PowerShell;Python;Rust;SQL,Assembly;Bash/Shell (all shells);C;C++;Lua;Python;Rust;SQL,Couch DB;Couchbase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Angular;AngularJS;Drupal;WordPress,.NET (5+) ;Apache Kafka;MFC;NumPy;OpenGL;TensorFlow;Torch/PyTorch,APT;Composer;Docker;Godot;Google Test;Kubernetes;Make;Ninja;NuGet;pnpm;Podman;Unity 3D,IntelliJ IDEA;IPython;Nano;Notepad++;PyCharm;Qt Creator;Vim;Visual Studio;Visual Studio Code,Android;Cygwin;Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),ChatGPT;GitHub Copilot;WolframAlpha,Speed up learning,Very poor at handling complex tasks,Writing code;Debugging and getting help;Testing code;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,10.0,Amount of technical debt,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),"Internet, Telecomm or Information Services",40+,"This is roughly how I behave when I’m collaborating with others. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. Most of the time I like working through written messages and updates instead of constant meetings. I really value respect and clear communication in any team. My discipline around deadlines depends on the situation, but I try to be transparent. I usually de-escalate tension and look for a quiet way to sort things out. I often end up taking ownership of tasks and nudging the team forward."
46,"Employed, full-time",30,"Senior Executive (C-Suite, VP, etc.)","10,000 or more employees",Cobol;Java;JavaScript;Python;SQL,Java;JavaScript;Python;SQL,BigQuery;Cosmos DB;IBM DB2;SQLite,Google Cloud;Microsoft Azure,Spring Boot,Apache Kafka;Apache Spark;Spring Framework,Docker;Homebrew;Maven (build tool);Pip,Eclipse;Emacs;Jupyter Notebook/JupyterLab;Visual Studio Code,iOS;iPadOS;MacOS,Bing AI;ChatGPT;GitHub Copilot,Speed up learning,Bad at handling complex tasks,Writing code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Other (please specify):,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks;Other (please specify):",Individual contributor,15.0,Amount of technical debt;Number of software tools in use;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Maintaining security of systems/platforms used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Retail and Consumer Services,5–10,"In group projects, this is pretty much my style: I’m okay with different working styles as long as we’re honest about expectations. I’m comfortable switching between async and sync communication to fit the situation. I like having a clear direction and focusing on delivering my own tasks well. I’d rather put the issue on the table and discuss it honestly than let it simmer. I adapt to the project context: sometimes I’m very strict, sometimes more relaxed. I’d describe my natural team role as a Implementer: I’m practical and like turning ideas into concrete steps."
47,"Employed, full-time",10,"Developer, full-stack",500 to 999 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Rust;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Rust;TypeScript,Cosmos DB;MariaDB;PostgreSQL;Redis,Microsoft Azure,React;Vue.js,.NET (5+) ;CUDA;Roslyn,Composer;Docker;Kubernetes;npm;NuGet;Terraform;Vite;Webpack;Yarn,Rider;Visual Studio;Visual Studio Code,Debian;Windows;Windows Subsystem for Linux (WSL),ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode,Increase productivity;Greater efficiency;Improve accuracy in coding,Bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,3.0,Amount of technical debt;Tracking my work;Showing my contributions,DevOps function;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Software Development,10–20,This is roughly how I behave when I’m collaborating with others. I work best with real-time conversations like quick calls or stand-ups. I’m usually more comfortable supporting whoever is leading and doing my part reliably. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I usually de-escalate tension and look for a quiet way to sort things out. Clear deadlines motivate me and I try hard to stick to them.
48,"Employed, full-time",6,"Developer, QA or test",500 to 999 employees,Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;Kotlin;Python;R;SQL;Swift;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;TypeScript,Microsoft SQL Server;SQLite;Supabase,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Vercel,Angular;Next.js;Node.js;Nuxt.js;React,.NET (5+) ;Flutter;Pandas;React Native;SwiftUI,Dagger;Docker;Gradle;Maven (build tool);npm;NuGet;Vite;Webpack,Android Studio;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Rider;Visual Studio Code;Xcode,Windows,ChatGPT;GitHub Copilot;Google Gemini;Phind;Visual Studio Intellicode,Increase productivity;Greater efficiency,Neither good or bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Individual contributor,9.0,Number of software tools in use;Tracking my work;Showing my contributions,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,5–10,Here’s how I usually work when I’m in a team. Most of the time I like working through written messages and updates instead of constant meetings. I try to give constructive feedback and I appreciate it in return. I don’t need to be the one in charge; I prefer being a dependable contributor. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. In conflicts I often act as a mediator and try to understand all sides. I’m quite strict with myself about timelines and like to finish tasks ahead of time.
49,"Employed, full-time",4,"Developer, back-end",10 to 19 employees,HTML/CSS;Java;JavaScript;SQL;TypeScript,Java;SQL,MariaDB;MySQL;PostgreSQL,Microsoft Azure,Angular;React;Spring Boot,Spring Framework,Docker;Gradle;Maven (build tool);npm,IntelliJ IDEA;Visual Studio,Windows;Windows Subsystem for Linux (WSL),Bing AI;ChatGPT,Improve collaboration;Make workload more manageable,Neither good or bad at handling complex tasks,Writing code;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",Individual contributor,5.0,Showing my contributions;Complexity of tech stack for deployment;Maintaining security of code being produced;Maintaining security of systems/platforms used in work,None of these,On-prem,Software Development,40+,Here’s how I usually work when I’m in a team. I get energy from live discussions and prefer to talk things through directly. I enjoy collaborating on direction instead of having a single strong leader. I tend to step between viewpoints and look for a solution everyone can live with. I’m flexible with deadlines as long as we communicate and keep priorities clear. I’d describe my natural team role as a Implementer: I’m practical and like turning ideas into concrete steps.
50,"Employed, full-time",22,"Developer, back-end","10,000 or more employees",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;Scala;TypeScript,Bash/Shell (all shells);Java;Kotlin,Dynamodb;Elasticsearch;PostgreSQL,Amazon Web Services (AWS),Node.js;React,Apache Spark,Ant;Gradle;Maven (build tool);Nix;npm;Pip,Eclipse;IntelliJ IDEA;Vim;Visual Studio Code,Ubuntu;Windows,Amazon Q;ChatGPT,Increase productivity,Very poor at handling complex tasks,Writing code,Other (please specify):,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Other (please specify):",Individual contributor,18.0,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Patching/updating core components;Maintaining security of systems/platforms used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,20–40,"In group projects, this is pretty much my style: I try to give constructive feedback and I appreciate it in return. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. I enjoy synchronous communication and like to jump on a call to sort things out fast. I adapt to the project context: sometimes I’m very strict, sometimes more relaxed. If something is wrong I prefer to address it directly and talk openly. I’m usually more comfortable supporting whoever is leading and doing my part reliably."
51,"Employed, full-time",8,"Developer, full-stack",20 to 99 employees,HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;SQL;TypeScript,MySQL;PostgreSQL,Amazon Web Services (AWS),Django;Express;NestJS;Next.js;Node.js;React;Vue.js,Ruff,Docker;Homebrew;Kubernetes;npm;Pip;Terraform;Vite;Webpack,Neovim;PyCharm;Vim;Visual Studio Code;WebStorm,iOS;MacOS;Windows,ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,"Good, but not great at handling complex tasks",Writing code;Documenting code;Debugging and getting help;Testing code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them,Individual contributor,6.0,Amount of technical debt;Number of software tools in use;Tracking my work;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Internet, Telecomm or Information Services",40+,"This is roughly how I behave when I’m collaborating with others. For me it’s important that everyone feels heard and included. I get energy from live discussions and prefer to talk things through directly. I like having a clear direction and focusing on delivering my own tasks well. I’d describe my natural team role as a Completer-Finisher: I’m detail-oriented and like polishing work at the end. In conflict I’m quite straightforward, as long as the discussion stays respectful. My discipline around deadlines depends on the situation, but I try to be transparent."
52,"Student, full-time;Employed, part-time",10,Student,"1,000 to 4,999 employees",Bash/Shell (all shells);C;C++;Java;PHP;PowerShell;Python;TypeScript,Bash/Shell (all shells);Python,MySQL;PostgreSQL;Redis;SQLite,Google Cloud,FastAPI;Flask;Node.js;React;Spring Boot,Hugging Face Transformers;NumPy;Opencv;Pandas;React Native;Spring Framework;Torch/PyTorch,Docker;Yarn,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),ChatGPT,Increase productivity;Greater efficiency,Very poor at handling complex tasks,Writing code,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Other (please specify):,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",Individual contributor,3.0,Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Software Development,10–20,"Here’s how I usually work when I’m in a team. I’d describe my natural team role as a Plant: I’m creative and enjoy coming up with new ideas. Most of the time I like working through written messages and updates instead of constant meetings. I’m quite strict with myself about timelines and like to finish tasks ahead of time. In conflict I’m quite straightforward, as long as the discussion stays respectful. For me it’s important that everyone feels heard and included. I’m usually more comfortable supporting whoever is leading and doing my part reliably."
